level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1466	-1	
2	1	1	0	0	0	1184	458	220	53	-1	
3	1	1	1	0	0	1184	458	220	53	-1	
4	1	1	1	1	0	1184	458	220	30	-1	
5	1	1	1	1	1	1184	468	118	20	9.733248	amagan~
5	1	1	1	1	2	1317	458	87	27	10.531454	-ame?
4	1	1	1	2	0	1184	486	220	25	-1	
5	1	1	1	2	1	1184	486	101	13	0.000000	BEBOOE-!
5	1	1	1	2	2	1289	487	115	24	0.000000	SEEOL,
2	1	2	0	0	0	571	508	846	69	-1	
3	1	2	1	0	0	571	508	841	69	-1	
4	1	2	1	1	0	1184	508	133	32	-1	
5	1	2	1	1	1	1184	508	79	32	19.495316	ae
5	1	2	1	1	2	1300	522	17	7	68.086227	[ix
4	1	2	1	2	0	571	512	846	46	-1	
5	1	2	1	2	1	571	524	45	34	1.076279	PRR
5	1	2	1	2	2	623	524	41	34	0.000000	PRE
5	1	2	1	2	3	669	536	29	13	0.000000	EO
5	1	2	1	2	4	705	536	154	18	0.000000	SRTITDATITD
5	1	2	1	2	5	1184	512	79	45	28.532833	oes
5	1	2	1	2	6	1286	524	43	34	35.796082	Wa)
5	1	2	1	2	7	1334	516	25	34	25.983934	&
5	1	2	1	2	8	1378	512	39	46	0.000000	D))
4	1	2	1	3	0	572	541	822	36	-1	
5	1	2	1	3	1	572	541	122	35	10.603256	BOSSI
5	1	2	1	3	2	769	552	90	15	46.559547	GS
5	1	2	1	3	3	1203	553	59	15	0.000000	3eD
5	1	2	1	3	4	1342	556	16	20	66.418068	a
5	1	2	1	3	5	1388	574	6	3	34.350925	ea
2	1	3	0	0	0	1182	635	2	61	-1	
3	1	3	1	0	0	1182	635	2	61	-1	
4	1	3	1	1	0	1182	635	2	61	-1	
5	1	3	1	1	1	1182	635	2	61	95.000000	 
2	1	4	0	0	0	141	867	426	43	-1	
3	1	4	1	0	0	141	867	426	43	-1	
4	1	4	1	1	0	141	867	426	43	-1	
5	1	4	1	1	1	141	867	133	35	40.815887	_7Tinch
5	1	4	1	1	2	291	870	104	31	83.591995	HDMI
5	1	4	1	1	3	412	870	84	32	83.591995	LCD
5	1	4	1	1	4	512	869	55	41	92.554558	(C)
2	1	5	0	0	0	166	914	380	50	-1	
3	1	5	1	0	0	166	914	380	50	-1	
4	1	5	1	1	0	166	914	380	25	-1	
5	1	5	1	1	1	166	914	54	20	96.113052	USB
5	1	5	1	1	2	230	914	132	25	96.113052	Capacitive
5	1	5	1	1	3	371	914	78	20	96.194199	Touch
5	1	5	1	1	4	460	914	86	20	96.672920	Screen
4	1	5	1	2	0	166	944	202	20	-1	
5	1	5	1	2	1	166	944	117	20	96.137535	1024x600
5	1	5	1	2	2	293	944	75	20	94.931236	Pixels
2	1	6	0	0	0	388	978	12	20	-1	
3	1	6	1	0	0	388	978	12	20	-1	
4	1	6	1	1	0	388	978	12	20	-1	
5	1	6	1	1	1	388	978	12	20	14.901962	L
2	1	7	0	0	0	168	972	911	123	-1	
3	1	7	1	0	0	168	972	911	125	-1	
4	1	7	1	1	0	168	972	636	102	-1	
5	1	7	1	1	1	168	994	68	16	91.418877	Rev4.1
5	1	7	1	1	2	348	972	90	96	62.701778	a
5	1	7	1	1	3	452	982	118	92	55.832047	Wh
5	1	7	1	1	4	802	996	2	6	50.544106	‘
4	1	7	1	2	0	810	1024	269	22	-1	
5	1	7	1	2	1	810	1027	34	17	0.000000	AYA
5	1	7	1	2	2	880	1024	21	16	0.000000	ESE
5	1	7	1	2	3	919	1026	35	19	20.046959	RAR
5	1	7	1	2	4	966	1028	37	12	16.694899	ae
5	1	7	1	2	5	1023	1024	56	22	8.730297	US
4	1	7	1	3	0	362	1028	56	34	-1	
5	1	7	1	3	1	362	1028	56	34	28.169361	a
4	1	7	1	4	0	244	1076	315	19	-1	
5	1	7	1	4	1	244	1080	80	11	8.187532	coumuxt}
5	1	7	1	4	2	349	1076	87	19	90.562592	Spotpear
5	1	7	1	4	3	453	1076	106	16	91.989296	Waveshare
2	1	8	0	0	0	0	0	1920	1466	-1	
3	1	8	1	0	0	0	0	1920	1466	-1	
4	1	8	1	1	0	0	0	1920	1466	-1	
5	1	8	1	1	1	0	0	1920	1466	95.000000	 
